From,To,Thick,Litho,Qual,Shade,Hue,Colour,Weath,Str,Rec Seq,Inter-rel,Percent
0.060,3.060,3.000,NL,,,,,,,,,0.0
3.060,3.480,0.420,XM,,B,K,B,F,R3,,,0.0
3.480,3.500,0.020,ZM,,D,K,G,F,R3,,,0.0
3.500,3.560,0.060,CO,CU,D,K,K,F,R2,,,0.0
3.560,3.590,0.030,ZM,,D,K,G,F,R3,,,0.0
3.590,5.250,1.660,XM,,B,K,B,F,R3,,,0.0
5.250,5.290,0.040,ZM,,D,K,G,F,R3,,,0.0
5.290,5.490,0.200,CO,CU,D,K,K,F,R2,,,0.0
5.490,5.500,0.010,NL,,,,,,,,,0.0
5.500,5.650,0.150,XM,,B,K,B,F,R3,,,0.0
5.650,6.690,1.040,ST,,A,B,B,F,R4,,,0.0
6.690,6.700,0.010,SS,FM,A,B,B,F,R4,,,0.0
6.700,6.710,0.010,XM,,B,K,B,F,R3,,,0.0
6.710,6.790,0.080,SS,FM,A,B,B,F,R4,,,0.0
6.790,7.240,0.450,ST,,A,B,B,F,R4,,,0.0
7.240,7.440,0.200,XM,,B,K,B,F,R3,,,0.0
7.440,7.470,0.030,ST,,A,B,B,F,R4,,,0.0
7.470,7.690,0.220,XM,,B,K,B,F,R3,,,0.0
7.690,7.700,0.010,ST,,A,B,B,F,R4,,,0.0
7.700,7.900,0.200,XM,,B,K,B,F,R3,,,0.0
7.900,7.920,0.020,ST,,A,B,B,F,R4,,,0.0
7.920,7.930,0.010,XM,,B,K,B,F,R3,,,0.0
7.930,7.950,0.020,ST,,A,B,B,F,R4,,,0.0
7.950,8.100,0.150,XM,,B,K,B,F,R3,,,0.0
8.100,8.110,0.010,ST,,A,B,B,F,R4,,,0.0
8.110,11.600,3.490,XM,,B,K,B,F,R3,,,0.0
11.600,11.660,0.060,ST,,A,B,B,F,R4,,,0.0
11.660,11.770,0.110,SS,FM,A,B,B,F,R4,,,0.0
11.770,11.820,0.050,ST,,A,B,B,F,R4,,,0.0
11.820,11.860,0.040,SS,FM,A,B,B,F,R4,,,0.0
11.860,11.870,0.010,XM,,B,K,B,F,R3,,,0.0
11.870,12.090,0.220,ST,,A,B,B,F,R4,,,0.0
12.090,12.110,0.020,SS,FM,A,B,B,F,R4,,,0.0
12.110,12.250,0.140,ST,,A,B,B,F,R4,,,0.0
12.250,12.280,0.030,SS,FM,A,B,B,F,R4,,,0.0
12.280,12.300,0.020,XM,,B,K,B,F,R3,,,0.0
12.300,12.440,0.140,SS,FM,A,B,B,F,R4,,,0.0
12.440,12.470,0.030,XM,,B,K,B,F,R3,,,0.0
12.470,12.660,0.190,SS,FM,A,B,B,F,R4,,,0.0
12.660,12.780,0.120,ST,,A,B,B,F,R4,,,0.0
12.780,12.880,0.100,SS,FM,A,B,B,F,R4,,,0.0
12.880,12.890,0.010,XM,,B,K,B,F,R3,,,0.0
12.890,13.080,0.190,ST,,A,B,B,F,R4,,,0.0
13.080,13.100,0.020,XM,,B,K,B,F,R3,,,0.0
13.100,13.230,0.130,ST,,A,B,B,F,R4,,,0.0
13.230,13.260,0.030,SS,FM,A,B,B,F,R4,,,0.0
13.260,13.460,0.200,ST,,A,B,B,F,R4,,,0.0
13.460,13.580,0.120,SS,FM,A,B,B,F,R4,,,0.0
13.580,13.630,0.050,ST,,A,B,B,F,R4,,,0.0
13.630,13.650,0.020,SS,FM,A,B,B,F,R4,,,0.0
13.650,13.670,0.020,ST,,A,B,B,F,R4,,,0.0
13.670,13.680,0.010,XM,,B,K,B,F,R3,,,0.0
13.680,13.760,0.080,SS,FM,A,B,B,F,R4,,,0.0
13.760,13.850,0.090,ST,,A,B,B,F,R4,,,0.0
13.850,13.860,0.010,SS,FM,A,B,B,F,R4,,,0.0
13.860,13.870,0.010,ST,,A,B,B,F,R4,,,0.0
13.870,14.340,0.470,SS,FM,A,B,B,F,R4,,,0.0
14.340,14.370,0.030,ST,,A,B,B,F,R4,,,0.0
14.370,14.410,0.040,SS,FM,A,B,B,F,R4,,,0.0
14.410,14.420,0.010,ST,,A,B,B,F,R4,,,0.0
14.420,14.600,0.180,SS,FM,A,B,B,F,R4,,,0.0
14.600,14.700,0.100,ST,,A,B,B,F,R4,,,0.0
14.700,14.930,0.230,SS,FM,A,B,B,F,R4,,,0.0
14.930,14.950,0.020,ST,,A,B,B,F,R4,,,0.0
14.950,14.960,0.010,SS,FM,A,B,B,F,R4,,,0.0
14.960,14.990,0.030,ST,,A,B,B,F,R4,,,0.0
14.990,15.150,0.160,SS,FM,A,B,B,F,R4,,,0.0
15.150,15.190,0.040,ST,,A,B,B,F,R4,,,0.0
15.190,15.240,0.050,SS,FM,A,B,B,F,R4,,,0.0
15.240,15.270,0.030,ST,,A,B,B,F,R4,,,0.0
15.270,15.280,0.010,SS,FM,A,B,B,F,R4,,,0.0
15.280,15.290,0.010,ST,,A,B,B,F,R4,,,0.0
15.290,15.310,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.310,15.360,0.050,ST,,A,B,B,F,R4,,,0.0
15.360,15.510,0.150,SS,FM,A,B,B,F,R4,,,0.0
15.510,15.540,0.030,ST,,A,B,B,F,R4,,,0.0
15.540,15.560,0.020,XM,,B,K,B,F,R3,,,0.0
15.560,15.580,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.580,15.590,0.010,XM,,B,K,B,F,R3,,,0.0
15.590,15.600,0.010,ST,,A,B,B,F,R4,,,0.0
15.600,15.610,0.010,XM,,B,K,B,F,R3,,,0.0
15.610,15.680,0.070,SS,FM,A,B,B,F,R4,,,0.0
15.680,15.690,0.010,XM,,B,K,B,F,R3,,,0.0
15.690,15.710,0.020,ST,,A,B,B,F,R4,,,0.0
15.710,15.720,0.010,XM,,B,K,B,F,R3,,,0.0
15.720,15.730,0.010,SS,FM,A,B,B,F,R4,,,0.0
15.730,15.800,0.070,ST,,A,B,B,F,R4,,,0.0
15.800,15.830,0.030,SS,FM,A,B,B,F,R4,,,0.0
15.830,15.840,0.010,ST,,A,B,B,F,R4,,,0.0
15.840,15.860,0.020,SS,FM,A,B,B,F,R4,,,0.0
15.860,15.870,0.010,ST,,A,B,B,F,R4,,,0.0
15.870,16.040,0.170,SS,FM,A,B,B,F,R4,,,0.0
16.040,16.070,0.030,XM,,B,K,B,F,R3,,,0.0
16.070,16.220,0.150,ST,,A,B,B,F,R4,,,0.0
16.220,16.360,0.140,SS,FM,A,B,B,F,R4,,,0.0
16.360,16.440,0.080,ST,,A,B,B,F,R4,,,0.0
16.440,16.540,0.100,SS,FM,A,B,B,F,R4,,,0.0
16.540,16.580,0.040,ST,,A,B,B,F,R4,,,0.0
16.580,16.610,0.030,SS,FM,A,B,B,F,R4,,,0.0
16.610,16.830,0.220,ST,,A,B,B,F,R4,,,0.0
16.830,16.840,0.010,SS,FM,A,B,B,F,R4,,,0.0
16.840,16.850,0.010,ST,,A,B,B,F,R4,,,0.0
16.850,16.970,0.120,SS,FM,A,B,B,F,R4,,,0.0
16.970,16.980,0.010,XM,,B,K,B,F,R3,,,0.0
16.980,17.020,0.040,ST,,A,B,B,F,R4,,,0.0
17.020,17.040,0.020,SS,FM,A,B,B,F,R4,,,0.0
17.040,17.060,0.020,ST,,A,B,B,F,R4,,,0.0
17.060,17.070,0.010,XM,,B,K,B,F,R3,,,0.0
17.070,17.120,0.050,SS,FM,A,B,B,F,R4,,,0.0
17.120,17.230,0.110,ST,,A,B,B,F,R4,,,0.0
17.230,17.290,0.060,SS,FM,A,B,B,F,R4,,,0.0
17.290,21.370,4.080,ST,,A,B,B,F,R4,,,0.0
21.370,21.430,0.060,SS,FM,A,B,B,F,R4,,,0.0
21.430,21.560,0.130,ST,,A,B,B,F,R4,,,0.0
21.560,21.600,0.040,SS,FM,A,B,B,F,R4,,,0.0
21.600,22.810,1.210,ST,,A,B,B,F,R4,,,0.0
22.810,22.830,0.020,SS,FM,A,B,B,F,R4,,,0.0
22.830,22.840,0.010,SH,,,,,,,,,0.0
22.840,22.850,0.010,SS,FM,A,B,B,F,R4,,,0.0
22.850,23.350,0.500,ST,,A,B,B,F,R4,,,0.0
23.350,23.380,0.030,SS,FM,A,B,B,F,R4,,,0.0
23.380,23.390,0.010,ST,,A,B,B,F,R4,,,0.0
23.390,23.400,0.010,SS,FM,A,B,B,F,R4,,,0.0
23.400,23.670,0.270,ST,,A,B,B,F,R4,,,0.0
23.670,23.750,0.080,SS,FM,A,B,B,F,R4,,,0.0
23.750,23.780,0.030,ST,,A,B,B,F,R4,,,0.0
23.780,23.800,0.020,SS,FM,A,B,B,F,R4,,,0.0
23.800,23.960,0.160,ST,,A,B,B,F,R4,,,0.0
23.960,23.970,0.010,SS,FM,A,B,B,F,R4,,,0.0
23.970,23.980,0.010,ST,,A,B,B,F,R4,,,0.0
23.980,23.990,0.010,SS,FM,A,B,B,F,R4,,,0.0
23.990,24.050,0.060,ST,,A,B,B,F,R4,,,0.0
24.050,24.070,0.020,SS,FM,A,B,B,F,R4,,,0.0
24.070,24.100,0.030,ST,,A,B,B,F,R4,,,0.0
24.100,24.160,0.060,SS,FM,A,B,B,F,R4,,,0.0
24.160,24.170,0.010,ST,,A,B,B,F,R4,,,0.0
24.170,24.180,0.010,SS,FM,A,B,B,F,R4,,,0.0
24.180,24.790,0.610,ST,,A,B,B,F,R4,,,0.0
24.790,25.230,0.440,SS,FM,A,B,B,F,R4,,,0.0
25.230,25.260,0.030,ST,,A,B,B,F,R4,,,0.0
25.260,25.270,0.010,SS,FM,A,B,B,F,R4,,,0.0
25.270,25.340,0.070,ST,,A,B,B,F,R4,,,0.0
25.340,25.360,0.020,SS,FM,A,B,B,F,R4,,,0.0
25.360,25.530,0.170,ST,,A,B,B,F,R4,,,0.0
25.530,25.560,0.030,SS,FM,A,B,B,F,R4,,,0.0
25.560,25.570,0.010,ST,,A,B,B,F,R4,,,0.0
25.570,25.590,0.020,SS,FM,A,B,B,F,R4,,,0.0
25.590,25.940,0.350,ST,,A,B,B,F,R4,,,0.0
25.940,26.000,0.060,SS,FM,A,B,B,F,R4,,,0.0
26.000,26.010,0.010,ST,,A,B,B,F,R4,,,0.0
26.010,26.030,0.020,SS,FM,A,B,B,F,R4,,,0.0
26.030,26.040,0.010,ST,,A,B,B,F,R4,,,0.0
26.040,26.060,0.020,SS,FM,A,B,B,F,R4,,,0.0
26.060,26.070,0.010,ST,,A,B,B,F,R4,,,0.0
26.070,26.180,0.110,SS,FM,A,B,B,F,R4,,,0.0
26.180,26.290,0.110,ST,,A,B,B,F,R4,,,0.0
26.290,26.300,0.010,SS,FM,A,B,B,F,R4,,,0.0
26.300,26.330,0.030,ST,,A,B,B,F,R4,,,0.0
26.330,26.370,0.040,SS,FM,A,B,B,F,R4,,,0.0
26.370,26.730,0.360,ST,,A,B,B,F,R4,,,0.0
26.730,26.750,0.020,SS,FM,A,B,B,F,R4,,,0.0
26.750,26.820,0.070,ST,,A,B,B,F,R4,,,0.0
